ACEN Colleges of Nursing,Program Type,State/Country,Status
"Alfred State College, SUNY College of Technology","10 Upper College Drive, EJ Brown Hall 402 Alfred, New York 14802 United States",Baccalaureate,New York,Accredited
Arnot Ogden Medical Center,"600 Roe Avenue Elmira, New York 14905 United States",Associate,New York,Accredited
Borough of Manhattan Community College – CUNY,"199 Chambers Street, S-785 New York, New York 10007-1097 United States",Associate,New York,Accredited
Bronx Community College – CUNY,"2155 University Avenue Carl Polowczyk Hall, Room 413 Bronx, New York 10453-2895 ",Associate,New York,Accredited
Cayuga Community College,"197 Franklin Street Auburn, New York 13021-3099 United States",Associate,New York,Accredited
College of Staten Island – CUNY,"2800 Victory Boulevard Staten Island, New York 10314 United States",Associate,New York,Accredited
College of Staten Island – CUNY,"2800 Victory Boulevard Staten Island, New York 10314 ",Master’s/Post-Master’s Certificate,New York,Accredited
College of Staten Island – CUNY,"2800 Victory Boulevard Staten Island, New York 10314 United States",Baccalaureate,New York,Accredited
College of Staten Island – CUNY,"2800 Victory Boulevard Staten Island, New York 10314 ",Clinical Doctorate,New York,Accredited
Columbia-Greene Community College,"4400 Route 23 Hudson, New York 12534-9543 United States",Associate,New York,Accredited
Daemen University,"4380 Main Street Amherst, New York 14226-3592 United States",Baccalaureate,New York,Accredited
Daemen University,"4380 Main Street Amherst, New York 14226-3592 United States",Master’s/Post-Master’s Certificate,New York,Accredited
Dutchess Community College,"53 Pendell Road Poughkeepsie, New York 12601-1595 ",Associate,New York,Accredited
Ellis Medicine,"650 McClellan Street Schenectady, New York 12304 ",Associate,New York,Accredited
Elmira College,"One Park Place Elmira, New York 14901 ",Baccalaureate,New York,Accredited
Erie Community College,"6205 Main Street Williamsville, New York 14221-7095 United States",Associate,New York,Accredited
Excelsior University,"7 Columbia Circle Albany, New York 12203 ",Baccalaureate,New York,Accredited
Excelsior University,"7 Columbia Circle Albany, New York 12203 ",Master’s,New York,Accredited
Finger Lakes Community College,"3325 Marvin Sands Drive Canandaigua, New York 14424-8395 United States",Associate,New York,Accredited
Finger Lakes Health – Geneva General,"196 North Street Geneva, New York 14456 United States",Associate,New York,Accredited
Finger Lakes Health – Geneva General,"196 North Street Geneva, New York 14456 ",Practical,New York,Accredited
Fulton-Montgomery Community College,"2805 State Highway 67 Johnstown, New York 12095-3790 ",Associate,New York,Accredited
Genesee Community College,"99 MedTech Drive Batavia, New York 14020 United States",Associate,New York,Accredited
Helene Fuld College of Nursing,"24 E. 120th Street New York, New York 10035 ",Associate,New York,Accredited
Hudson Valley Community College,"80 Vandenburgh Avenue Troy, New York 12180-6096 ",Associate,New York,Accredited
Jamestown Community College,"525 Falconer Street Jamestown, New York 14701-1999 ",Associate,New York,Accredited
Jefferson Community College,"1220 Coffeen Street Watertown, New York 13601-1897 United States",Associate,New York,Accredited
Kingsborough Community College of the City University of New York,"2001 Oriental Boulevard Brooklyn, New York 11235 ",Associate,New York,Accredited
LaGuardia Community College-CUNY,"3110 Thomson Avenue, Room E-300 Long Island City, New York 11101-3083 United States",Associate,New York,Accredited
Maria College,"700 New Scotland Avenue Albany, New York 12208-1798 ",Associate,New York,Accredited
Maria College,"700 New Scotland Avenue Albany, New York 12208-1798 ",Baccalaureate,New York,Accredited
Medgar Evers College-CUNY,"1638 Bedford Avenue Brooklyn, New York 11225 ",Associate,New York,Accredited
Medgar Evers College-CUNY,"1638 Bedford Avenue Brooklyn, New York 11225 ",Baccalaureate,New York,Accredited
Mohawk Valley Community College,"1101 Sherman Drive Utica, New York 13501 ",Associate,New York,Accredited
Monroe College,"2467 Jerome Avenue Bronx, New York 10468 ",Practical,New York,Accredited
Monroe College,"2467 Jerome Avenue Bronx, New York 10468 United States",Associate,New York,Accredited
Monroe College,"2467 Jerome Avenue Bronx, New York 10468 ",Baccalaureate,New York,Accredited
Monroe Community College,"1000 East Henrietta Road Rochester, New York 14623-5780 ",Associate,New York,Accredited
Montefiore New Rochelle Hospital,"53 Valentine Avenue Mount Vernon, New York 10550 ",Associate,New York,Accredited
Nassau Community College,"One Education Drive, Life Science Building Room 219 Garden City, New York 11530 ",Associate,New York,Accredited
New York City College of Technology,"300 Jay Street A-613 Brooklyn, New York 11201 ",Baccalaureate,New York,Accredited
New York City College of Technology,"300 Jay Street A-613 Brooklyn, New York 11201 ",Associate,New York,Accredited
Niagara County Community College,"3111 Saunders Settlement Road Sanborn, New York 14132-9460 United States",Associate,New York,Accredited
Onondaga Community College,"4585 West Seneca Turnpike Syracuse, New York 13215-4585 ",Associate,New York,Accredited
Orange County Community College,"115 South Street Middletown, New York 10940-6437 ",Associate,New York,Accredited
Pacific College of Health and Science – New York,"110 William Street, 19th Floor New York, New York 10038 United States",Baccalaureate,New York,Accredited
Pomeroy College of Nursing at Crouse Hospital,"5000 Brittonfield Parkway Suite B201 East Syracuse, New York 13057 ",Associate,New York,Accredited
Queensborough Community College of CUNY,"255-05 56th Avenue Bayside, New York 11364 United States",Associate,New York,Accredited
Rochester Regional Health System,"470 Skyview Center Parkway Rochester, New York 14622 United States",Practical,New York,Accredited
Rockland Community College,"145 College Road Suffern, New York 10901-3699 ",Associate,New York,Accredited
St. Elizabeth Medical Center,"2215 Genesee Street Utica, New York 13501 ",Associate,New York,Accredited
St. John’s Riverside Hospital,"967 North Broadway Yonkers, New York 10701 ",Associate,New York,Accredited
St. Joseph’s College New York,"245 Clinton Avenue Brooklyn, New York 11205 ",Baccalaureate,New York,Accredited
St. Joseph’s College New York,"245 Clinton Avenue Brooklyn, New York 11205 United States",Master’s,New York,Accredited
St. Joseph’s College of Nursing,"206 Prospect Avenue Syracuse, New York 13203 ",Associate,New York,Accredited
St. Peter’s Health Partners – Samaritan Hospital,"1300 Massachusetts Avenue Troy, New York 12180 ",Associate,New York,Accredited
St. Peter’s Health Partners – Samaritan Hospital,"1300 Massachusetts Avenue Troy, New York 12180 ",Practical,New York,Accredited
St. Peter’s Health Partners – St. Peter’s Hospital,"714 New Scotland Avenue Albany, New York 12208 United States",Associate,New York,Accredited
Suffolk County Community College,"533 College Road Selden, New York 11784-2899 ",Associate,New York,Accredited
Suffolk County Community College,"533 College Road Selden, New York 11784 United States",Practical,New York,Accredited
SUNY Adirondack Community College,"640 Bay Road Queensbury, New York 12804 ",Associate,New York,Accredited
SUNY Broome Community College,"907 Upper Front Street Binghamton, New York 13905 ",Associate,New York,Accredited
SUNY College of Agriculture and Technology at Morrisville,"PO Box 901 Morrisville, New York 13408-0636 United States",Associate,New York,Accredited
SUNY College of Agriculture and Technology at Morrisville,"PO Box 901 Morrisville, New York 13408-0636 ",Baccalaureate,New York,Accredited
SUNY College of Technology at Canton,"34 Cornell Drive Canton, New York 13617-1098 ",Associate,New York,Accredited
SUNY College of Technology at Canton,"34 Cornell Drive Canton, New York 13617-1098 ",Baccalaureate,New York,Accredited
SUNY College of Technology at Canton,"34 Cornell Drive Canton, New York 13617-1098 United States",Practical,New York,Accredited
SUNY College of Technology at Delhi,"454 Delhi Drive Delhi, New York 13753 ",Associate,New York,Accredited
SUNY College of Technology at Delhi,"454 Delhi Drive Delhi, New York 13753 ",Baccalaureate,New York,Accredited
SUNY Corning Community College,"Health Education Center, 132 Denison Parkway East Corning, New York 14830-3297 United States",Associate,New York,Accredited
Tompkins Cortland Community College,"170 North Street Dryden, New York 13053 United States",Associate,New York,Accredited
Trocaire College,"360 Choate Avenue Buffalo, New York 14220-2094 United States",Associate,New York,Accredited
Trocaire College,"360 Choate Avenue Buffalo, New York 14220-2094 United States",Baccalaureate,New York,Accredited
Ulster County Community College,"491 Cottekill Road Stone Ridge, New York 12484 United States",Associate,New York,Accredited
Wagner College,"One Campus Road Staten Island, New York 10301 United States",Master’s/Post-Master’s Certificate,New York,Accredited
Wagner College,"One Campus Road Staten Island, New York 10301 United States",Baccalaureate,New York,Accredited
Westchester Community College,"75 Grasslands Road Valhalla, New York 10595 United States",Associate,New York,Accredited
York College of CUNY,"94-20 Guy R. Brewer Boulevard Jamaica, New York 11451 United States",Baccalaureate,New York,Accredited
Brunswick Community College,"PO Box 30 Supply, North Carolina 28462 ",Associate,North Carolina,Accredited
Brunswick Community College,"PO Box 30 Supply, North Carolina 28462 United States",Practical,North Carolina,Accredited
Cabarrus College of Health Sciences,"401 Medical Park Drive Concord, North Carolina 28025 United States",Associate,North Carolina,Accredited
Caldwell Community College and Technical Institute,"2855 Hickory Boulevard Hudson, North Carolina 28638 ",Associate,North Carolina,Accredited
Cape Fear Community College,"411 North Front Street Wilmington, North Carolina 28401 ",Associate,North Carolina,Accredited
Carolinas College of Health Sciences,"2110 Water Ridge Parkway Charlotte, North Carolina 28217 United States",Associate,North Carolina,Accredited
Carteret Community College,"3505 Arendell Street Morehead City, North Carolina 28557 ",Associate,North Carolina,Accredited
Catawba Valley Community College,"2550 Highway 70 SE Hickory, North Carolina 28602-8302 ",Associate,North Carolina,Accredited
Central Piedmont Community College,"1335 Elizabeth Avenue Charlotte, North Carolina 28204 ",Associate,North Carolina,Accredited
Cleveland Community College,"137 South Post Road Shelby, North Carolina 28152 ",Associate,North Carolina,Accredited
Cleveland Community College,"137 South Post Road Shelby, North Carolina 28152 ",Practical,North Carolina,Accredited
Coastal Carolina Community College,"444 Western Boulevard Jacksonville, North Carolina 28546 ",Associate,North Carolina,Accredited
Coastal Carolina Community College,"444 Western Boulevard Jacksonville, North Carolina 28546 ",Practical,North Carolina,Accredited
College of the Albemarle,"1208 North Road Street, PO Box 2327 Elizabeth City, North Carolina 27906 ",Associate,North Carolina,Accredited
Davidson-Davie Community College,"PO Box 1287 Lexington, North Carolina 27293 United States",Associate,North Carolina,Accredited
Duke Regional Hospital,"2828 Croasdaile Drive, Suite 200 Durham, North Carolina 27705 ",Baccalaureate,North Carolina,Accredited
Durham Technical Community College,"1637 Lawson Street Durham, North Carolina 27703 United States",Associate,North Carolina,Accredited
Durham Technical Community College,"1637 Lawson Street Durham, North Carolina 27703 United States",Practical,North Carolina,Accredited
Edgecombe Community College,"225 Tarboro Street Rocky Mount, North Carolina 27801 United States",Practical,North Carolina,Accredited
Edgecombe Community College,"225 Tarboro Street Rocky Mount, North Carolina 27801 ",Associate,North Carolina,Accredited
Fayetteville Technical Community College,"2201 Hull Road Fayetteville, North Carolina 28303-0236 United States",Associate,North Carolina,Accredited
Gardner-Webb University,"315 West College Avenue Boiling Springs, North Carolina 28017 United States",Associate,North Carolina,Accredited
Gardner-Webb University,"315 West College Avenue Boiling Springs, North Carolina 28017 ",Baccalaureate,North Carolina,Accredited
Gardner-Webb University,"315 West College Avenue Boiling Springs, North Carolina 28017 ",Master’s/Post-Master’s Certificate,North Carolina,Accredited
Gardner-Webb University,"315 West College Avenue Boiling Springs, North Carolina 28017 ",Clinical Doctorate,North Carolina,Accredited
Gaston College,"201 Highway 321 South Dallas, North Carolina 28034 ",Associate,North Carolina,Accredited
Gaston College,"511 South Aspen Street Lincolnton, North Carolina 28092 ",Practical,North Carolina,Accredited
Johnston Community College,"245 College Road Smithfield, North Carolina 27577 United States",Associate,North Carolina,Accredited
Mitchell Community College,"500 W. Broad Street Statesville, North Carolina 28677 United States",Associate,North Carolina,Accredited
North Carolina Agricultural & Technical State University,"1600 East Market Street, Noble Hall Greensboro, North Carolina 27411 United States",Baccalaureate,North Carolina,Accredited
North Carolina Central University,"1801 Fayetteville Street Durham, North Carolina 27707 ",Baccalaureate,North Carolina,Accredited
Rowan-Cabarrus Community College,"399 Biotechnology Lane Kannapolis, North Carolina 28081 ",Associate,North Carolina,Accredited
Rowan-Cabarrus Community College,"399 Biotechnology Lane Kannapolis, North Carolina 28081 United States",Practical,North Carolina,Accredited
Sampson Community College,"1801 Sunset Avenue, PO Box 318 Clinton, North Carolina 28329 United States",Associate,North Carolina,Accredited
Sampson Community College,"1801 Sunset Avenue, PO Box 318 Clinton, North Carolina 28329 United States",Practical,North Carolina,Accredited
Wake Technical Community College,"2901 Holston Lane Raleigh, North Carolina 27610 United States",Associate,North Carolina,Accredited
Wayne Community College,"3000 Wayne Memorial Drive Goldsboro, North Carolina 27534 United States",Associate,North Carolina,Accredited
Wayne Community College,"3000 Wayne Memorial Drive Goldsboro, North Carolina 27534 United States",Practical,North Carolina,Accredited
Western Piedmont Community College,"1001 Burkemont Avenue Morganton, North Carolina 28655-9978 United States",Associate,North Carolina,Accredited
Wingate University,"205 North Main Street, Campus Box 3026 Wingate, North Carolina 28174 United States",Baccalaureate,North Carolina,Accredited
Bismarck State College,"1613 Edwards Avenue, Office 109C Bismarck, North Dakota 58501 United States",Associate,North Dakota,Accredited
Dickinson State University,"291 Campus Drive Dickinson, North Dakota 58601-4896 United States",Baccalaureate,North Dakota,Accredited
Dickinson State University,"291 Campus Drive Dickinson, North Dakota 58601-4896 ",Practical,North Dakota,Accredited
Lake Region State College,"1801 College Drive North Devils Lake, North Dakota 58301 ",Associate,North Dakota,Accredited
North Dakota State College of Science,"800 6th Street North Wahpeton, North Dakota 58076-0002 United States",Practical,North Dakota,Accredited
North Dakota State College of Science,"800 6th Street North Wahpeton, North Dakota 58076-0001 ",Associate,North Dakota,Accredited
Aultman College of Nursing and Health Sciences,"2600 Sixth Street SW Canton, Ohio 44710 ",Associate,Ohio,Accredited
Bryant & Stratton College – Akron,"190 Montrose West Avenue Akron, Ohio 44321 ",Associate,Ohio,Accredited
Bryant & Stratton College – Akron,"190 Montrose West Avenue Akron, Ohio 44321 United States",Practical,Ohio,Accredited
Bryant & Stratton College – Solon/Parma,"12955 Snow Road Parma, Ohio 44130 United States",Associate,Ohio,Accredited
Bryant & Stratton College – Solon/Parma,"12955 Snow Road Parma, Ohio 44130 ",Practical,Ohio,Accredited
Central Ohio Technical College,"1179 University Drive Newark, Ohio 43055-1797 ",Associate,Ohio,Accredited
Cincinnati State Technical and Community College,"3520 Central Parkway Cincinnati, Ohio 45233-2690 United States",Associate,Ohio,Accredited
Clark State Community College,"570 East Leffel Lane Springfield, Ohio 45505 United States",Associate,Ohio,Accredited
Columbus State Community College,"550 East Spring Street Columbus, Ohio 43215 ",Associate,Ohio,Accredited
Cuyahoga Community College,"700 Carnegie Avenue Cleveland, Ohio 44115-2878 United States",Associate,Ohio,Accredited
Edison State Community College,"1973 Edison Drive Piqua, Ohio 45356 ",Associate,Ohio,Accredited
Firelands Regional Health System,"1912 Hayes Avenue Sandusky, Ohio 44870 ",Diploma,Ohio,Accredited
Fortis College – Centerville,"555 East Alex Bell Road Centerville, Ohio 45459 United States",Associate,Ohio,Accredited
Galen College of Nursing – Cincinnati,"100 E Business Way, Suite 120 Cincinnati, Ohio 45241 ",Associate,Ohio,Accredited
Good Samaritan College of Nursing & Health Science,"375 Dixmyth Avenue Cincinnati, Ohio 45220-2489 United States",Associate,Ohio,Accredited
Good Samaritan College of Nursing & Health Science,"375 Dixmyth Avenue Cincinnati, Ohio 45220-2489 United States",Baccalaureate,Ohio,Accredited
Herzing University – Akron,"1600 South Arlington Street, Suite 100 Akron, Ohio 44306 ",Associate,Ohio,Accredited
Hocking College,"3301 Hocking Parkway Nelsonville, Ohio 45764-9704 United States",Associate,Ohio,Accredited
James A. Rhodes State College,"4240 Campus Drive Lima, Ohio 45804 ",Associate,Ohio,Accredited
Kent State University,"400 East 4th Street East Liverpool, Ohio 43920 ",Associate,Ohio,Accredited
Kettering College,"3737 Southern Boulevard Kettering, Ohio 45429 ",Baccalaureate,Ohio,Accredited
Lakeland Community College,"7700 Clocktower Drive Kirtland, Ohio 44094-5198 ",Associate,Ohio,Accredited
Lorain County Community College,"1005 North Abbe Road Elyria, Ohio 44035-1691 ",Associate,Ohio,Accredited
Lorain County Community College,"1005 North Abbe Road Elyria, Ohio 44035-1691 ",Practical,Ohio,Accredited
Marion Technical College,"1467 Mount Vernon Avenue Marion, Ohio 43302 ",Associate,Ohio,Accredited
Mercy College of Ohio,"2221 Madison Avenue Toledo, Ohio 43604-1132 ",Associate,Ohio,Accredited
North Central State College,"2441 Kenwood Circle Mansfield, Ohio 44901 United States",Associate,Ohio,Accredited
Northwest State Community College,"22600 State Route 34 Archbold, Ohio 43502-9542 ",Associate,Ohio,Accredited
Ohio University,"Grover E317, 1 Ohio University Athens, Ohio 45701 ",Associate,Ohio,Accredited
Owens Community College,"30335 Oregon Road Perrysburg, Ohio 43551 ",Associate,Ohio,Accredited
Salem City Schools,"230 North Lincoln Avenue, Suite 3 Salem, Ohio 44460-2906 United States",Practical,Ohio,Accredited
Shawnee State University,"940 Second Street, Allied Health Sciences Building Portsmouth, Ohio 45662 ",Associate,Ohio,Accredited
Shawnee State University,"940 Second Street. Allied Health Sciences Building Portsmouth, Ohio 45662 United States",Baccalaureate,Ohio,Accredited
Sinclair Community College,"444 West 3rd Street Dayton, Ohio 45402 ",Associate,Ohio,Accredited
Southern State Community College,"100 Hobart Drive Hillsboro, Ohio 45133-9488 United States",Associate,Ohio,Accredited
Stark State College,"6200 Frank Avenue NW North Canton, Ohio 44720-7299 ",Associate,Ohio,Accredited
Terra State Community College,"2830 Napoleon Road Fremont, Ohio 43420-9670 United States",Associate,Ohio,Accredited
Trinity Health System,"4000 Sunset Boulevard, Suite 2631 Steubenville, Ohio 43952 ",Diploma,Ohio,Accredited
University of Cincinnati – Blue Ash College,"9555 Plainfield Road Blue Ash, Ohio 45236-1096 United States",Associate,Ohio,Accredited
University of Rio Grande,"218 North College Avenue, PO Box 500 Rio Grande, Ohio 45674-0500 United States",Associate,Ohio,Accredited
University of Rio Grande,"218 North College Avenue, PO Box 500 Rio Grande, Ohio 45674-0500 United States",Baccalaureate,Ohio,Accredited
Youngstown State University,"One University Plaza Youngstown, Ohio 44555 United States",Baccalaureate,Ohio,Accredited
Carl Albert State College,"1507 South McKenna Poteau, Oklahoma 74953-5207 United States",Associate,Oklahoma,Accredited
Connors State College,"2501 North 41st Street East Muskogee, Oklahoma 74403 ",Associate,Oklahoma,Accredited
East Central University,"1100 East 14th Street, PMB V-8 Ada, Oklahoma 74820 ",Baccalaureate,Oklahoma,Accredited
Eastern Oklahoma State College,"1301 West Main Street Wilburton, Oklahoma 74578-4999 United States",Associate,Oklahoma,Accredited
Francis Tuttle Technology Center,"12777 North Rockwell Avenue Oklahoma City, Oklahoma 73142-2789 ",Practical,Oklahoma,Accredited
Great Plains Technology Center,"4500 West Lee Boulevard Lawton, Oklahoma 73505 ",Practical,Oklahoma,Accredited
Langston University,"PO Box 1500 Langston, Oklahoma 73050 United States",Baccalaureate,Oklahoma,Accredited
Meridian Technology Center,"1312 South Sangre Road Stillwater, Oklahoma 74074 ",Practical,Oklahoma,Accredited
Metro Technology Centers,"1720 Springlake Drive Oklahoma City, Oklahoma 73111 United States",Practical,Oklahoma,Accredited
Mid-America Technology Center,"PO Box H Wayne, Oklahoma 73095 ",Practical,Oklahoma,Accredited
Moore Norman Technology Center,"PO Box 4701 Norman, Oklahoma 73070 ",Practical,Oklahoma,Accredited
Murray State College,"One Murray Campus Tishomingo, Oklahoma 73460-3130 United States",Associate,Oklahoma,Accredited
Northeastern Oklahoma A&M College,"200 I Street NE Miami, Oklahoma 74354-6434 United States",Associate,Oklahoma,Accredited
Northeastern State University,"2400 West Shawnee Avenue Muskogee, Oklahoma 74401 ",Baccalaureate,Oklahoma,Accredited
Northeastern State University,"2400 West Shawnee Avenue Muskogee, Oklahoma 74401 ",Master’s,Oklahoma,Accredited
Northern Oklahoma College,"1220 East Grand, PO Box 310 Tonkawa, Oklahoma 74653 ",Associate,Oklahoma,Accredited
Northwestern Oklahoma State University,"709 Oklahoma Boulevard Alva, Oklahoma 73717-2799 ",Baccalaureate,Oklahoma,Accredited
Oklahoma City Community College,"7777 South May Avenue Oklahoma City, Oklahoma 73159-4444 United States",Associate,Oklahoma,Accredited
Oklahoma City University,"2501 North Blackwelder Avenue Oklahoma City, Oklahoma 73106-1493 ",Master’s/Post-Master’s Certificate,Oklahoma,Accredited
Oklahoma City University,"2501 North Blackwelder Avenue Oklahoma City, Oklahoma 73106-1493 ",Baccalaureate,Oklahoma,Accredited
Oklahoma City University,"2501 North Blackwelder Avenue Oklahoma City, Oklahoma 73106-1493 ",Clinical Doctorate,Oklahoma,Accredited
Oklahoma Panhandle State University,"323 Eagle Boulevard, Box 430 Goodwell, Oklahoma 73939 United States",Baccalaureate,Oklahoma,Accredited
Oklahoma State University Institute of Technology-Okmulgee,"1801 East 4th Okmulgee, Oklahoma 74447 ",Associate,Oklahoma,Accredited
Oklahoma State University-Oklahoma City,"440 North Portland Avenue Oklahoma City, Oklahoma 73107 ",Associate,Oklahoma,Accredited
Redlands Community College,"1300 South Country Club Road El Reno, Oklahoma 73036 ",Associate,Oklahoma,Accredited
Rogers State University,"1701 West Will Rogers Boulevard Claremore, Oklahoma 74017-3252 United States",Baccalaureate,Oklahoma,Accredited
Rose State College,"6420 SE 15th Street Midwest City, Oklahoma 73110-2799 ",Associate,Oklahoma,Accredited
Seminole State College,"2701 Boren Boulevard Seminole, Oklahoma 74868 United States",Associate,Oklahoma,Accredited
Southern Oklahoma Technology Center,"2610 Sam Noble Parkway Ardmore, Oklahoma 73401 ",Practical,Oklahoma,Accredited
Southwestern Oklahoma State University,"100 Campus Drive Weatherford, Oklahoma 73096-3098 ",Baccalaureate,Oklahoma,Accredited
Southwestern Oklahoma State University,"100 Campus Drive Weatherford, Oklahoma 73096-3098 ",Master’s,Oklahoma,Accredited
Tri County Technology Center,"6101 SE Nowata Road Bartlesville, Oklahoma 74006-6029 ",Practical,Oklahoma,Accredited
Tulsa Community College,"909 South Boston Avenue Tulsa, Oklahoma 74119-2095 ",Associate,Oklahoma,Accredited
University of Tulsa,"800 South Tucker Drive Tulsa, Oklahoma 74104 United States",Baccalaureate,Oklahoma,Accredited
University of Tulsa,"800 South Tucker Drive Tulsa, Oklahoma 74104 United States",Clinical Doctorate/DNPSC,Oklahoma,Accredited
Central Oregon Community College,"2600 Northwest College Way Bend, Oregon 97703 United States",Associate,Oregon,Accredited
Chemeketa Community College,"4000 Lancaster Drive NE, PO Box 14007 Salem, Oregon 97309-7070 United States",Associate,Oregon,Accredited
Portland Community College,"12000 SW 49th Avenue Portland, Oregon 97280-0990 ",Associate,Oregon,Accredited
Treasure Valley Community College,"650 College Boulevard Ontario, Oregon 97914 United States",Associate,Oregon,Accredited
Alle-Kiski Medical Center,"539 Pittsburgh Mills Circle Tarentum, Pennsylvania 15084 ",Diploma,Pennsylvania,Accredited
Bucks County Community College,"275 Swamp Road Newtown, Pennsylvania 18940-4106 United States",Associate,Pennsylvania,Accredited
Butler County Community College,"107 College Drive Butler, Pennsylvania 16003-1203 ",Associate,Pennsylvania,Accredited
Career Technology Center of Lackawanna County,"3201 Rockwell Avenue Scranton, Pennsylvania 18508 ",Practical,Pennsylvania,Accredited
Cedar Crest College,"100 College Drive Allentown, Pennsylvania 18104-6196 ",Baccalaureate,Pennsylvania,Accredited
Cedar Crest College,"100 College Drive Allentown, Pennsylvania 18104-6196 ",Master’s/Post-Master’s Certificate,Pennsylvania,Accredited
Central Susquehanna Intermediate Unit,"15 Lawton Lane Milton, Pennsylvania 17847 United States",Practical,Pennsylvania,Accredited
Chester County Intermediate Unit,"443 Boot Road Downington, Pennsylvania 19335 ",Practical,Pennsylvania,Accredited
Clearfield County Career and Technology Center,"1620 River Road Clearfield, Pennsylvania 16830 United States",Practical,Pennsylvania,Accredited
Commonwealth University of Pennsylvania,"400 E. 2nd Street Bloomsburg, Pennsylvania 17815 ",Associate,Pennsylvania,Accredited
Commonwealth University of Pennsylvania,"400 East 2nd Street Bloomsburg, Pennsylvania 17815 ",Baccalaureate,Pennsylvania,Accredited
Community College of Allegheny County,"800 Allegheny Avenue Pittsburgh, Pennsylvania 15233 ",Associate,Pennsylvania,Accredited
Community College of Beaver County,"1 Campus Drive Monaca, Pennsylvania 15061-2588 ",Associate,Pennsylvania,Accredited
Community College of Philadelphia,"1700 Spring Garden Street Philadelphia, Pennsylvania 19130-3991 United States",Associate,Pennsylvania,Accredited
Conemaugh Memorial Medical Center,"1086 Franklin Street Johnstown, Pennsylvania 15905-4398 United States",Diploma,Pennsylvania,Accredited
Crawford County Career & Technical Center,"860 Thurston Road Meadville, Pennsylvania 16335 ",Practical,Pennsylvania,Accredited
Delaware County Community College,"901 South Media Line Road Media, Pennsylvania 19063-1094 ",Associate,Pennsylvania,Accredited
Delaware County Intermediate Unit #25,"85 North Malin Road Broomall, Pennsylvania 19008 ",Practical,Pennsylvania,Accredited
East Stroudsburg University of Pennsylvania,"200 Prospect Street East Stroudsburg, Pennsylvania 18301-2999 ",Baccalaureate,Pennsylvania,Accredited
Fayette County Career and Technical Institute,"175 Georges Fairchance Road Uniontown, Pennsylvania 15401 United States",Practical,Pennsylvania,Accredited
Franklin County Career and Technology Center,"2463 Loop Road Chambersburg, Pennsylvania 17202 United States",Practical,Pennsylvania,Accredited
Greene County Career & Technology Center,"158 Portal Road Waynesburg, Pennsylvania 15370 ",Practical,Pennsylvania,Accredited
Grove City College,"100 Campus Drive Grove City, Pennsylvania 16127-2104 ",Baccalaureate,Pennsylvania,Accredited
Harcum College,"750 Montgomery Avenue Bryn Mawr, Pennsylvania 19010 ",Associate,Pennsylvania,Accredited
Harrisburg Area Community College,"1 HACC Drive Harrisburg, Pennsylvania 17110-2999 United States",Associate,Pennsylvania,Accredited
Harrisburg Area Community College,"1 HACC Drive Harrisburg, Pennsylvania 17110-2999 United States",Practical,Pennsylvania,Accredited
Heritage Valley Health System School of Nursing,"25 Heckel Road McKees Rocks, Pennsylvania 15136-1694 United States",Diploma,Pennsylvania,Accredited
Jefferson County-DuBois AVTS,"576 Vo Tech Road Reynoldsville, Pennsylvania 15851 United States",Practical,Pennsylvania,Accredited
La Roche University,"9000 Babcock Boulevard Pittsburgh, Pennsylvania 15237-5898 United States",Baccalaureate,Pennsylvania,Accredited
La Roche University,"9000 Babcock Boulevard Pittsburgh, Pennsylvania 15237-5898 ",Master’s,Pennsylvania,Accredited
Lehigh Carbon Community College,"4525 Education Park Drive Schnecksville, Pennsylvania 18078-2598 ",Associate,Pennsylvania,Accredited
Lehigh Carbon Community College,"4525 Education Park Drive Schnecksville, Pennsylvania 18078-2598 ",Practical,Pennsylvania,Accredited
Lehigh Valley Health Network,"420 South Jackson Street Pottsville, Pennsylvania 17901 ",Diploma,Pennsylvania,Accredited
Lenape Technical School,"104 Armstrong Street Ford City, Pennsylvania 16226 United States",Practical,Pennsylvania,Accredited
Luzerne County Community College,"1333 South Prospect Street Nanticoke, Pennsylvania 18634 United States",Associate,Pennsylvania,Accredited
Mifflin County Academy of Science and Technology,"700 Pitt Street Lewistown, Pennsylvania 17044 ",Practical,Pennsylvania,Accredited
Montgomery County Community College,"340 Dekalb Pike Blue Bell, Pennsylvania 19422 United States",Associate,Pennsylvania,Accredited
Mount Aloysius College,"7373 Admiral Peary Highway Cresson, Pennsylvania 16630 ",Associate,Pennsylvania,Accredited
Mount Aloysius College,"7373 Admiral Peary Highway Cresson, Pennsylvania 16630 ",Baccalaureate,Pennsylvania,Accredited
Neumann University,"One Neumann Drive Aston, Pennsylvania 19014-1298 United States",Baccalaureate,Pennsylvania,Accredited
Neumann University,"One Neumann Drive Aston, Pennsylvania 19014-1298 ",Master’s/Post-Master’s Certificate,Pennsylvania,Accredited
Northampton Community College,"3835 Green Pond Road Bethlehem, Pennsylvania 18020 ",Associate,Pennsylvania,Accredited
Northampton Community College,"3835 Green Pond Road Bethlehem, Pennsylvania 18020 ",Practical,Pennsylvania,Accredited
Northern Tier Career Center,"RR 1 Box 157A Towanda, Pennsylvania 18848-9731 ",Practical,Pennsylvania,Accredited
Pennsylvania College of Health Sciences,"850 Greenfield Road Lancaster, Pennsylvania 17601 ",Associate,Pennsylvania,Accredited
